title,director1,director2,domestic,distributor,release,genre,runtime,rating,budget,worldwide,actor1,actor2,actor3,actor4,actor5,actor6,producer1,producer2,producer3,producer4,producer5,producer6,writer1,writer2,composer1,composer2
$9.99,N/A,N/A,"$56,900",Regent Releasing,"December 12, 2008",Animation,1 hrs. 18 min.,R,N/A,"$708,354",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
$upercapitalist,N/A,N/A,"$16,600",Truly Indie,"August 10, 2012",Thriller,1 hrs. 36 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
(500) Days of Summer,Marc Webb,N/A,"$35,233,100",Fox Searchlight,"July 17, 2009",Romance,1 hrs. 35 min.,PG-13,$7.5 million,"$60,722,734",Zooey Deschanel,Joseph Gordon-Levitt,Chloe Moretz,Clark Gregg,Minka Kelly*,N/A,Mason Novick,Mark S. Waters,N/A,N/A,N/A,N/A,Scott Neustadter,Michael H. Weber,Mychael Danna,Rob Simonsen
(Untitled),N/A,N/A,"$246,100",Samuel Goldwyn,"October 23, 2009",Comedy,1 hrs. 36 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
...And Justice for All,N/A,N/A,"$107,727,500",Columbia,"October 19, 1979",Drama,1 hrs. 59 min.,R,N/A,N/A,Craig T. Nelson*,Al Pacino,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Barry Levinson,N/A,N/A,N/A
1+1=11,N/A,N/A,"$178,400",Eros,"March 28, 2003",Unknown,N/A,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"1,000 Times Good Night",N/A,N/A,"$54,200",Film Movement,"October 24, 2014",Foreign,1 hrs. 57 min.,Unrated,N/A,"$53,895",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10,N/A,N/A,"$242,194,400",Warner Bros.,"October 5, 1979",Romantic Comedy,2 hrs. 1 min.,R,N/A,N/A,Julie Andrews,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10 Items or Less,Brad Silberling,N/A,"$103,300",ThinkFilm,"December 1, 2006",Comedy,1 hrs. 22 min.,R,N/A,"$1,399,222",Morgan Freeman,Jonah Hill,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10 Questions for the Dalai Lama,N/A,N/A,"$265,000","Monterey Media, Inc.","April 27, 2007",Documentary,1 hrs. 29 min.,Unrated,N/A,"$484,487",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10 Things I Hate About You,N/A,N/A,"$61,024,900",Buena Vista,"March 31, 1999",Romantic Comedy,1 hrs. 37 min.,PG-13,$30 million,"$53,478,166",Julia Stiles,Heath Ledger,Joseph Gordon-Levitt,N/A,N/A,N/A,Jeffrey Chernov,Andrew Lazar,N/A,N/A,N/A,N/A,Karen McCullah Lutz,Kirsten Smith,N/A,N/A
10 to Midnight,N/A,N/A,"$18,497,100",MGM,"March 11, 1983",Unknown,1 hrs. 43 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10 Years,Jamie Linden,N/A,"$210,000",Anchor Bay Films,"September 14, 2012",Comedy / Drama,1 hrs. 40 min.,PG-13,N/A,"$203,373",Channing Tatum,Chris Pratt,Jenna Dewan-Tatum,Rosario Dawson,Justin Long,Aubrey Plaza,Marty Bowen,N/A,N/A,N/A,N/A,N/A,Jamie Linden,N/A,Chad Fischer,N/A
"10,000 B.C.",Roland Emmerich,N/A,"$107,193,300",Warner Bros.,"March 7, 2008",Period Adventure,1 hrs. 49 min.,PG-13,$105 million,"$269,784,201",N/A,N/A,N/A,N/A,N/A,N/A,Mark Gordon,Harald Kloser,Scott Mednick,Thomas Tull,N/A,N/A,Roland Emmerich,Harald Kloser,Harald Kloser,Thomas Wander
100 Bloody Acres,N/A,N/A,"$6,200",Doppelganger Releasing,"June 28, 2013",Horror Comedy,N/A,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The 100-Year Old Man Who Climbed Out the Window and Disappeared,N/A,N/A,"$815,800",Music Box Films,"May 1, 2015",Foreign,1 hrs. 54 min.,R,N/A,"$51,001,769",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
101 Dalmatians,N/A,N/A,"$456,744,300",Disney,"January 25, 1961",Animation,1 hrs. 19 min.,G,N/A,"$215,880,014",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
101 Dalmatians (1996),N/A,N/A,"$247,236,700",Buena Vista,"November 27, 1996",Family Comedy,1 hrs. 43 min.,G,N/A,"$320,689,294",Glenn Close,Hugh Laurie,N/A,N/A,N/A,N/A,John Hughes,N/A,N/A,N/A,N/A,N/A,John Hughes,N/A,Michael Kamen,N/A
101 Dalmatians (Re-issue) (1969),N/A,N/A,"$102,929,600",Disney,"January 1, 1969",Animation,1 hrs. 19 min.,G,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
101 Dalmatians (Re-issue) (1979),N/A,N/A,"$61,466,100",Disney,"January 1, 1979",Animation,1 hrs. 19 min.,G,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
101 Dalmatians (Re-issue) (1985),N/A,N/A,"$72,862,200",Buena Vista,"December 20, 1985",Animation,1 hrs. 19 min.,G,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
101 Dalmatians (Re-issue) (1991),N/A,N/A,"$117,325,900",Buena Vista,"July 12, 1991",Animation,1 hrs. 19 min.,G,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
101 Reykjavik,N/A,N/A,"$176,700",Menemsha,"July 27, 2001",Unknown,1 hrs. 40 min.,Unrated,N/A,"$126,404",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
102 Dalmatians,N/A,N/A,"$100,001,200",Buena Vista,"November 22, 2000",Family Comedy,1 hrs. 44 min.,G,$85 million,"$183,611,771",Glenn Close,Ioan Gruffudd,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10th &amp; Wolf,N/A,N/A,"$67,800",ThinkFilm,"August 18, 2006",Crime Drama,1 hrs. 50 min.,R,$8 million,"$143,451",James Marsden,Giovanni Ribisi,Piper Perabo,Val Kilmer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Aaron Zigman,N/A
11 Flowers,N/A,N/A,"$9,300",First Run,"February 22, 2013",Foreign,1 hrs. 50 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11-11-11,Darren Lynn Bousman,N/A,"$34,000",Rocket Releasing,"November 11, 2011",Horror,1 hrs. 22 min.,PG-13,N/A,"$5,739,384",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Darren Lynn Bousman,N/A,N/A,N/A
The 11th Hour,N/A,N/A,"$834,800",Warner Independent,"August 17, 2007",Documentary,1 hrs. 33 min.,PG,N/A,"$985,207",Leonardo DiCaprio*,N/A,N/A,N/A,N/A,N/A,Leonardo DiCaprio,N/A,N/A,N/A,N/A,N/A,Leonardo DiCaprio,N/A,N/A,N/A
12,N/A,N/A,"$141,500",Sony Classics,"March 4, 2009",Foreign,2 hrs. 39 min.,PG-13,N/A,"$7,537,453",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12 Monkeys,Terry Gilliam,N/A,"$104,974,800",Universal,"December 29, 1995",Sci-Fi,2 hrs. 10 min.,R,N/A,"$168,839,459",Brad Pitt,Bruce Willis,N/A,N/A,N/A,N/A,Charles Roven,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12 O'Clock Boys,N/A,N/A,"$84,300",Oscilloscope Pictures,"January 31, 2014",Documentary,1 hrs. 16 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12 Rounds,Renny Harlin,N/A,"$13,836,400",Fox,"March 27, 2009",Action / Adventure,1 hrs. 48 min.,PG-13,N/A,"$17,280,326",John Cena,N/A,N/A,N/A,N/A,N/A,Mark Gordon,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Trevor Rabin,N/A
12 Years a Slave,Steve McQueen (II),N/A,"$56,008,600",Fox Searchlight,"October 18, 2013",Drama,2 hrs. 13 min.,R,$20 million,"$187,733,202",Michael Fassbender,Brad Pitt,Benedict Cumberbatch,Paul Dano,Paul Giamatti,N/A,Dede Gardner,Jeremy Kleiner,Steve McQueen (II),Arnon Milchan,Brad Pitt,John Ridley,John Ridley,N/A,Hans Zimmer,N/A
